Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lyon-game-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2018-WB-4.jpg,4,lyon-game-table,,,,,,,,
mollie-nesting-tables-2-ctn,MOLLIE Nesting Tables (2 / CTN),"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
MOLLIE Nesting Tables (2 / CTN) adds a Contemporary touch while keeping the room feeling warm and welcoming. Built as a outdoor table, it pairs well with a wide range of interiors. Crafted from Metal, Solid Wood, it is finished in Natural or Black tones that pair easily with surrounding decor.<br>
Product Dimensions: 15.5""W X 15.5""D X 17.5""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Metal, Solid Wood.<br>
Color: Natural or Black<br>
Weight: 13.23 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, MOLLIE, LIVING ROOM FURNITURE",TRUE,Color,Natural/Black,,,,,,,,GM-5015-2PK,6001,shopify,20,deny,manual,117,,TRUE,FALSE,,,,,,GM-5015-2PK-WB-1.jpg,1,mollie-nesting-tables-2-ctn,FALSE,MOLLIE Nesting Tables (2 / CTN),"Shop MOLLIE Nesting Tables (2 / CTN). Contemporary style. Metal, Solid Wood build. Color: Natural/Black. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-5015-2PK-WB-1.jpg,lb,,49,active
monza-adjustable-chairs-2-ctn,MONZA Adjustable Chairs (2 / CTN),"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with MONZA Adjustable Chairs (2 / CTN) and its Contemporary character. Built as a outdoor table, it pairs well with a wide range of interiors. Finished in Gun Metal or Gray tones, the Aluminum, Textilene build balances durability with visual appeal.<br>
Product Dimensions: 27.5""D X 23""D X 43""H</p>

<p>Materials: Aluminum, Textilene.<br>
Color: Gun Metal or Gray</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, MONZA, LIVING ROOM FURNITURE",TRUE,Color,Gun Metal/Gray,,,,,,,,GM-2028-2PK,,shopify,20,deny,manual,360,,TRUE,FALSE,,,,,,GM-2028-2PK-WB-1.jpg,1,monza-adjustable-chairs-2-ctn,FALSE,MONZA Adjustable Chairs (2 / CTN),"Shop MONZA Adjustable Chairs (2 / CTN). Contemporary style. Aluminum, Textilene build. Color: Gun Metal/Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2028-2PK-WB-1.jpg,lb,,140,active
monza-adjustable-chairs-2-ctn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2027-7PC-1.jpg,2,monza-adjustable-chairs-2-ctn,,,,,,,,
monza-extendable-dining-table,MONZA Extendable Dining Table,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
MONZA Extendable Dining Table brings a Contemporary look to your home with a refined, comfortable feel. As a outdoor table, it is designed to complement your space. The Aluminum, Tempered Glass, Textilene construction is complemented by Gun Metal or Gray tones for a polished look.<br>
Product Dimensions: 63"" (EXTENDED 94.5"")W X 35.5""D X 29.5""H</p>

<p>Materials: Aluminum, Tempered Glass, Textilene.<br>
Color: Gun Metal or Gray</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, MONZA, LIVING ROOM FURNITURE",TRUE,Color,Gun Metal/Gray,,,,,,,,GM-2027,,shopify,20,deny,manual,897,,TRUE,FALSE,,,,,,GM-2027-WB-1.jpg,1,monza-extendable-dining-table,FALSE,MONZA Extendable Dining Table,"Shop MONZA Extendable Dining Table. Contemporary style. Aluminum, Tempered Glass build. Color: Gun Metal/Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2027-WB-1.jpg,lb,,339,active
monza-extendable-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2027-7PC-1.jpg,2,monza-extendable-dining-table,,,,,,,,
monza-extendable-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2027-2.jpg,3,monza-extendable-dining-table,,,,,,,,
palma-dining-table,PALMA Dining Table,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with PALMA Dining Table, styled in Contemporary and designed for everyday comfort. As a outdoor table, it is designed to complement your space. With Steel, Glass, Polyspun Fabric and Black or Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 71""W X 35.5""D X 28""H</p>

<p>Materials: Steel, Glass, Polyspun Fabric.<br>
Color: Black or Gray<br>
Weight: 62.8 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, PALMA, LIVING ROOM FURNITURE",TRUE,Color,Black/Gray,,,,,,,,GM-2022,28486,shopify,20,deny,manual,327,,TRUE,FALSE,,,,,,GM-2022-WB-1.jpg,1,palma-dining-table,FALSE,PALMA Dining Table,"Shop PALMA Dining Table. Contemporary style. Steel, Glass build. Color: Black/Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2022-WB-1.jpg,lb,,129,active
palma-dining-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2022-7PC-1-Z.jpg,2,palma-dining-table,,,,,,,,
sarabi-patio-side-table,SARABI Patio Side Table,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
SARABI Patio Side Table is designed to complement your space with a balanced, versatile look. This outdoor table is made to fit naturally into the room.<br>
Product Dimensions: 21.5""W X 21.5""D X 15.5""H<br>
Weight: 11.7 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, SARABI, LIVING ROOM FURNITURE",TRUE,Type,Single Item,,,,,,,,FM80003BK-T,5307,shopify,20,deny,manual,177,,TRUE,FALSE,,,,,,FM80003BK-T-1.jpg,1,sarabi-patio-side-table,FALSE,SARABI Patio Side Table,Shop SARABI Patio Side Table. Free shipping. Buy now at GOODDEGG.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM80003BK-T-1.jpg,lb,,79,active
